id,name,artists,album,release_date,energy,danceability,popularity,keywords
16kiQQ4BoLHDyj5W2fkfNK,"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",2024-07-02,0.745,0.676,80,"['tauba', 'husn', 'tera', 'bad', 'newz', 'song', 'tan', 'ton', 'tu', 'mp3']"
5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")","Ram Sampath, Arijit Singh, Prashant Pandey","Sajni (From ""Laapataa Ladies"")",2024-02-12,0.413,0.428,82,"['sajni', 'laapataa', 'ladies', 'song', 'kaise', 'teri', 'mp3', 'kate', 'din', 'raat']"
0XRb6eZE4dBIJdqwf1Mixu,Suniyan Suniyan,"Juss, MixSingh",Suniyan Suniyan,2024-04-12,0.626,0.83,79,"['suniyan', 'song', 'mp3', 'juss', 'mixsingh', 'download', 'songs', 'music', 'hindi', 'english']"
34Fh4HXZmnuBdtgejWUZg2,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")","Mohammad Faiz, Jaani","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",2024-05-14,0.439,0.417,79,"['dekhha', 'tenu', 'mr', 'mrs', 'mahi', 'song', 'mp3', 'jaani', 'download', 'songs']"
5Ggb9pKiKcr5vNV9v1e1vs,"Tumhare Hi Rahenge Hum (From ""Stree 2"")","Sachin-Jigar, Shilpa Rao, Varun Jain, Amitabh Bhattacharya","Tumhare Hi Rahenge Hum (From ""Stree 2"")",2024-08-06,0.516,0.674,67,"['tumhare', 'hi', 'rahenge', 'hum', 'stree', '2', 'song', 'mp3', 'sachinjigar', 'download']"
36N5awamOX6XX5pQn3aFXZ,"Soni Soni (From ""Ishq Vishk Rebound"")","Darshan Raval, Jonita Gandhi, Rochak Kohli, Gurpreet Saini","Soni Soni (From ""Ishq Vishk Rebound"")",2024-05-24,0.694,0.803,78,"['soni', 'ishq', 'vishk', 'rebound', 'song', 'mp3', 'darshan', 'raval', 'download', 'songs']"
3svJaCD1g4aeQOXGc1aOIB,Mombattiye,"Diljit Dosanjh, Jaani, Bunny",Mombattiye,2024-08-05,0.693,0.595,66,"['mombattiye', 'song', 'mp3', 'diljit', 'dosanjh', 'download', 'songs', 'music', 'hindi', 'english']"
6EivvaEepVTjmDde43eGiB,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-18,0.658,0.468,71,"['rocky', 'aur', 'rani', 'kii', 'prem', 'kahaani', 'kamleya', 'song', 'mp3', 'pritam']"
6IR6mzRO60hnMjNoq8rCPE,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Raghav, Tanishk Bagchi, Asees Kaur","Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-29,0.819,0.814,71,"['mein', 'song', 'baaton', 'aisa', 'jiya', 'teri', 'uljha', 'title', 'dil', 'se']"
2C6CJGFLbisteRuY6Plb7b,Ve Haaniyaan,"Danny, Avvy Sra, Sagar",Ve Haaniyaan,2024-01-19,0.54,0.786,74,"['qismat', '2', 'mere', 'yaara', 'song', 'mp3', 'avvy', 'sra', 'download', 'songs']"
